brandName,name,price,item_url,category
멜릭서,비건 밸런싱 토너,"18,000",https://www.29cm.co.kr/product/420897,뷰티
바르,"[진정, 보습, 미백] 수퍼 밸런스 브라이트닝 앰플 30ml","39,000",https://www.29cm.co.kr/product/724444,뷰티
시오리스,타임 이즈 러닝 아웃 미스트 100ml,"22,000",https://www.29cm.co.kr/product/371073,뷰티
비건타민,"식물성 비타민 D3 2000IU 2개월 (비건 꽃이끼추출물, 뼈 건강, 골다공증 발생 위험 감소)","32,000",https://www.29cm.co.kr/product/1039866,뷰티
멜릭서,1+1 비건 립 버터,"24,000",https://www.29cm.co.kr/product/961590,뷰티
인비아포테케,헤어 클렌저 _ 265ML _ 유기농 화장품,"33,000",https://www.29cm.co.kr/product/89922,뷰티
베이지크,코렉팅 페이스 스크럽,"38,000",https://www.29cm.co.kr/product/461645,뷰티
비건이펙트,클린 앤 글로우 청보리 LHA 젤 클렌저(205ml),"24,000",https://www.29cm.co.kr/product/1315042,뷰티
보나쥬르,프로폴리스 세럼 100ml,"22,500",https://www.29cm.co.kr/product/666749,뷰티
보나쥬르,멜로우 마일드 밀크 클렌저 200ml,"27,000",https://www.29cm.co.kr/product/666634,뷰티
멜릭서,비건 에어핏 선스크린,"30,000",https://www.29cm.co.kr/product/981868,뷰티
비건이펙트,클린 앤 글로우 매끈결광 SET(젤클렌저+에센스+크림),"77,000",https://www.29cm.co.kr/product/1315166,뷰티
비건타민,"비건타민 식물성 비건 영양제 3종 기프트 세트 (비건 오메가3, 꽃이끼 비타민D, 17가지 종합영양제)","126,000",https://www.29cm.co.kr/product/1402551,뷰티
클레어스,서플프레퍼레이션 언센티드 토너,"12,900",https://www.29cm.co.kr/product/204344,뷰티
보나쥬르,라이스브랜90 인정 클렌징 오일 200ml,"31,000",https://www.29cm.co.kr/product/666527,뷰티
시오리스,클렌즈미 소프틀리 밀크클렌저 200ml,"24,000",https://www.29cm.co.kr/product/371069,뷰티
톤28,얼굴 씻을거리 S8 유황+소금+피마자 오일(모공관리/문제성 피부),"11,000",https://www.29cm.co.kr/product/277196,뷰티
아로마티카,[저자극&약산성 이너클렌저] 퓨어 앤 소프트 여성청결제 170ml,"15,000",https://www.29cm.co.kr/product/140086,뷰티
멜릭서,비건 허베이셔스 젤 클렌저,"26,000",https://www.29cm.co.kr/product/958618,뷰티
톤28,얼굴 씻을거리 S12 달맞이꽃오일(아기용),"12,000",https://www.29cm.co.kr/product/277335,뷰티
티히히,클리어링 베리 마스크 스틱,"21,000",https://www.29cm.co.kr/product/821463,뷰티
톤28,얼굴 씻을거리 S6 구아줄렌+아보카도오일 (지성민감성),"11,000",https://www.29cm.co.kr/product/277194,뷰티
비건이펙트,클린 앤 글로우 청보리 퍼스트 에센스(150ml)x2개,"54,000",https://www.29cm.co.kr/product/1315100,뷰티
비건이펙트,클린 앤 글로우 수분초 크림(50g),"26,000",https://www.29cm.co.kr/product/1315158,뷰티
비건이펙트,클린 앤 글로우 청보리 퍼스트 에센스(150ml),"27,000",https://www.29cm.co.kr/product/1315098,뷰티
